token,freq
the,907
of,492
and,376
160,356
in,340
lebanon,331
to,191
retrieved,155
lebanese,113
on,92
by,87
is,86
from,85
for,83
with,74
was,67
as,61
2013-01-17,56
are,48
2009,47
that,45
has,39
country,38
world,38
at,36
syria,35
arab,34
beirut,34
isbn,32
2008,31
2010,31
which,31
2011,29
archived,29
french,29
original,28
war,28
new,27
its,26
lebanon.,26
may,26
october,25
2006,24
2012,24
august,24
east,24
government,24
january,24
mount,24
over,24
p.,24
united,24
were,24
2013,23
international,23
national,23
an,22
main,22
most,22
arabic,21
article,21
more,21
public,21
states,21
syrian,21
history,20
minister,20
population,20
religious,20
countries,19
middle,19
after,18
between,18
civil,18
february,18
have,18
mediterranean,18
this,18
10,17
be,17
been,17
christian,17
israel,17
it,17
september,17
also,16
into,16
muslim,16
political,16
university,16
2005,15
league,15
nations,15
november,15
people,15
their,15
under,15
